Index,"Major area, region, country or area",Notes,code,Alpha-code,Location Type Code,Location Type Name,Region Code,Region Name,Major Area Code,Major Area Name,More Developed Regions,Less Developed Regions,Least developed countries,"Less developed regions, excluding least developed countries",HIV/AIDS mortality modelling in WPP 2012 revision,Prevalence rate (%) ,< 1%,1-5%,5-10%,10-20%,> 20%,Max(HIV),Year for max(HIV),Lag = 2011-year(maxHIV),UNAIDS 2010 revision,UNAIDS 2012 revision,Difference (%) base=2010 revision,"Countries or areas with a population of less than 90,000 by end-2013"
112,Armenia,,51,ARM,4,Country/Area,922,Western Asia,935,Asia,No,Yes,No,Yes,No,0.20741,Yes,No,No,No,No,0.22129,2004,7,0.1,0.21238,112.38,No
113,Azerbaijan,9,31,AZE,4,Country/Area,922,Western Asia,935,Asia,No,Yes,No,Yes,No,0.10029,Yes,No,No,No,No,0.1113,2011,0,0.1,0.1113,11.3,No
114,Bahrain,,48,BHR,4,Country/Area,922,Western Asia,935,Asia,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
115,Cyprus,10,196,CYP,4,Country/Area,922,Western Asia,935,Asia,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
116,Georgia,11,268,GEO,4,Country/Area,922,Western Asia,935,Asia,No,Yes,No,Yes,No,0.15242,Yes,No,No,No,No,0.20636,2011,0,0.1,0.20636,106.36,No
117,Iraq,,368,IRQ,4,Country/Area,922,Western Asia,935,Asia,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
118,Israel,,376,ISR,4,Country/Area,922,Western Asia,935,Asia,No,Yes,No,Yes,No,0.1849,Yes,No,No,No,No,0.18545,2008,3,0.2,0.18254,-8.73,No
119,Jordan,,400,JOR,4,Country/Area,922,Western Asia,935,Asia,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
120,Kuwait,,414,KWT,4,Country/Area,922,Western Asia,935,Asia,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
121,Lebanon,,422,LBN,4,Country/Area,922,Western Asia,935,Asia,No,Yes,No,Yes,No,0.09422,Yes,No,No,No,No,0.09942,2011,0,0.1,0.09942,-0.58,No
122,Oman,,512,OMN,4,Country/Area,922,Western Asia,935,Asia,No,Yes,No,Yes,No,0.13713,Yes,No,No,No,No,0.16743,2011,0,0.1,0.16743,67.43,No
123,Qatar,,634,QAT,4,Country/Area,922,Western Asia,935,Asia,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
124,Saudi Arabia,,682,SAU,4,Country/Area,922,Western Asia,935,Asia,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
125,State of Palestine,12,275,PSE,4,Country/Area,922,Western Asia,935,Asia,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
126,Syrian Arab Republic,,760,SYR,4,Country/Area,922,Western Asia,935,Asia,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
127,Turkey,,792,TUR,4,Country/Area,922,Western Asia,935,Asia,No,Yes,No,Yes,No,<0.1,Yes,No,No,No,No,<0.1,2011,0,<0.1,<0.1,…,No
